driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71
20,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[15],[5],[],[],[],[],[],[],[30],[],[],[],[],[],[],[813],[],[67],"[153, 815]",[],[],[],[],[],[],[],[811],[],[],[],[],[811],[],[811],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[30, 815]",[],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[]
24,,[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[816],[],[817],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[816],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
153,,[],[5],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[67],[],[],"[813, 22]",[],[],[],[],[811],[],[],[],[],[],[],[],[815],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
155,,[67],[],[],[],[],[],[],[],[30],[],[811],[],[],[],[],[814],[],[],[],[],"[67, 811, 815]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[],[],[],[],[],[],[814],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[814],[],[],[],[],[],[],[],[],[],[],[],[],"[817, 10]",[24],[816],[],[],[],[],[15],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[811],[5],[],[],[],[],[],[],[],[],[],[22],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[67],[],[],[]
808,,[],[],[],[],[],[],[],[],[30],[],[811],[],"[67, 811, 155, 814]",[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
811,,[],[],[],[],[],[],[],[],[],[],[],"[808, 155, 814]",[],[],[3],[],[],[155],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
813,,[15],[],[5],[],[],[],[],[],[30],[],[],[],[],[],[22],[],[],[],[],[153],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
814,,[],[],[],[],[],[],[],[],[30],[],[811],[],[],[],[],[],"[811, 155]",[],[],[],[],[],[],[],[],[],[],[],[808],[],[],[],[],[],[],[],[],[],[],[155],[],[],[],[],[],[],[155],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[155],[],[],[],[],[],[],[]
815,,[5],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[67],[],"[153, 155, 22]",[],[],[],[],[811],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
816,,[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],"[24, 10]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
817,,[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],"[24, 10]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
67,,[],[],[],[],[],[],[],[],[30],[],[],[808],[],[],[],[],[],[],"[153, 22, 815]",[155],[],[],[],[811],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[153],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
