driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
22,,[],[],[],[23],[],[],[],[22],[],[],[],[],[],[21],[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[18],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[39],[],"[35, 38]",[],[33],[32],[],[],[31],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
27,,[],[],[],[],[],[],[35],[33],[],[],[],[],[33],"[32, 31]",[],[],[],[],[],[],[],[],[],[],[],[],[],[38],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[27],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[39],[38],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
31,,[],[],[],[],[],[],[],[],[],[],[],[],[13],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
32,,[],[],[],[17],[],[],[],[17],[],[],[],[],[],[17],[],[],[],[15],[],[],[14],[],[],[22],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[21],[],[],[],[],[],[],[],[],[],[],[]
33,,[],[],[],[],[30],[],[],[27],[],[],[],[],[32],[],[38],[],"[33, 35]",[],[],[],[],[],[],[],[],[],[],[],[33],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[],[33],[],[],[],[32],[31],[],[30],[],[],[],[27],[],[],[],[],[],[],[],[],[],[],[],[],[],[27],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
38,,[],[],[],[],[39],[],[],[38],[],[],[],[],[35],[33],[],[],[],[],[],[],[],[],[],[38],[],[],[],"[33, 35]",[32],[31],[],[],[],[],[],[],[],[],[],[],[],[],[31],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
39,,[],[],[],[],[31],[],[],[],[],[],[],[],[39],[38],[35],[33],[],[],[],[],[],[],[],[],[],[],[],"[32, 33, 31]",[],[],[],[],[],[31],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
