driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
807,,[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[37],"[155, 30]",[],[],[],[],[],[],[],[],[154],[],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
808,,[],[],[],[],[],[],[],[],[814],[],[],[],[813],"[811, 39]",[],[39],[],[],[],[],[],[],[],[],[],[813],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
39,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[819],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
811,,[],[],[],[],[],[30],[155],[],[],[],[],[],[],[],[],[154],[20],[],[],[],"[37, 807]",[30],[],[],[],[],[],[],[],[155],[],[],[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
813,,[],[],[807],[],[],[],[],[808],[],[],[],[807],[],[],[],[37],[30],[],[],[155],[],[807],[],[],[],[],[],[37],[],[30],[],[],[],[155],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[154],[],[],[],[]
814,,[],[],[20],[],[18],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[13],[],[37],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[39],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
815,,[],[],[],[],[],"[154, 155]",[],[],[],[],[],[],[],[],[],[20],[18],[],[],[],[],[],[],[],[],[],[],[807],[],[37],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
817,,"[814, 815]",[],[813],[811],[39],[],[808],[807],[37],[],[],[],[],[],[],[30],[155],[],[154],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[37],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
818,,[],[39],[],[],[],[],[],[],[39],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
819,,[818],[],[],[],[],[],[],[],[818],[],[],[],[818],[817],[],[],[],[],[],[],[815],[],[813],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
