driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64
55,,[],[],[],[],[],[],[],[],[],[],[],[],[30],[14],[],[],[],[],[],[35],[],[],[],[],[44],[57],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
56,,[],[],[],[],[],[],[],[],[],[],[63],[],[],"[77, 30]","[65, 57]","[49, 71]",[],[],[],"[50, 22]",[],[75],[],[],[],[49],[],[],[],[64],[50],[],[75],[],[],[],[],[],[],[77],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[],[],[],[],[],[],[],[],[],[],[],[],[30],[14],[],[49],[],"[56, 21]",[],[],[55],[],[],[],[44],[],[],[77],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[]
63,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[81],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
64,,[],[],[],[],[],[],[],[],[81],[],[23],[],[63],[],[],[76],[],[],[],[],"[50, 22]",[],[],[],[23],[],[],[56],[],[],[],[],[75],[],[],[],[],[],[],"[50, 77]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
65,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[14, 30]",[],[49],[],[21],[56],[],[],[],[],[],[44],[],[57],[],[],[30],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14]
71,,[],[],[],[],[],[],[],[],[],[63],[],[],[],"[77, 14, 30]","[65, 57]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
75,,[],[],[],[],[],[],[],[],[],[],[],[63],[],[77],[],[],[],[21],[56],[],[],[],[],[],[],[],[],[56],[77],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
76,,[15],[],[],[],[],[],[],[],[],"[81, 79]",[],"[64, 23, 63]",[],[],[],[],[],[],[],[],[15],[81],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[81],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
77,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[56],"[50, 22]",[],[75],[],[],[],[49],[57],[],[],[],[],[75],[],[],[],[],[],[],[49],[],[50],[64],[],[],[],[23],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
79,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
81,,[],[],[],[],[],[],[],[],[],[],[],[],[63],[],[],[],[76],[],[],[],[15],[],[],"[15, 63]",[],[],[],[],[],[],[],[],[],[],[],[],[],[76],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
