driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
817,,[],[],[],[],[],[],[],[],[8],[4],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
821,,[],[],[],[826],[],[],[],[],[],[154],[],[],[],[839],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
822,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[839],[],[],[836],[],[],[],[],[],[],[],[],[],[],[],[]
825,,[835],[],[],[],[],[],[],[],[],[154],[835],[],[],[836],[821],[],[],[],[],[],[],[835],[831],[],[],[],[],[],[835],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[835],[],[828],[],[],[]
826,,[],[828],[],[],[],[],[],[],[],[154],"[4, 828]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[835],[],[831],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[835],[],[],[],[828],[],[],[],[],[]
828,,[835],[],[],[],[],[],[],[],[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[836],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[835],[],[],[],[],[],[],[],[]
830,,[],[],[],[],[],[],[],[817],[],[],[4],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[832],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
831,,[],[],[],[],[],[],[822],[],[],[],[],[],"[836, 839]",[],[821],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[836],[],[],[],[],[],[],[],[],[],[],[836],[],[],[],[]
832,,[],[],[],[],[],[],[],[817],[4],[],[],[828],[],[],[],[826],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[]
835,,[],[],[839],[],[],[],[],[],[],[154],[],[],[821],[],[],[836],[],[],[],[],[],[],[828],[],[831],[],[],[],[822],[831],[],[836],[],[],[],[],[],[],[],[],[],[],[831],[],[],[],[],[],[],[],[822],[831],[],[],[]
836,,[],[],[831],[],[],[],[839],[],[],[831],[],[],[],[],[821],[],[],[],[],[],[839],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
839,,[831],[],[],[],[],[],[],[],[],[],[],[],[822],[],"[836, 821]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
